Date,Bytes
2008-08-15,71579
2009-06-16,54187
2008-12-02,389324
2009-01-18,321209
2010-02-19,958703
2008-11-08,538681
2009-03-03,77349
2009-02-01,219487
2009-07-17,141670
2008-11-09,154539
2010-05-12,412495
2010-01-04,83870
2008-10-08,249327
2009-04-15,76931
2010-11-12,114027
2008-11-02,255558
2009-08-17,220462
2012-02-02,1086700
2008-09-07,44159
2012-07-06,971609
2012-12-11,698688
2009-09-19,66596
2012-09-06,111592
2010-03-17,415775
2011-09-14,1739947
2013-05-10,1565115
2009-10-06,174250
2010-03-28,126627
2010-05-25,714996
2009-09-09,1148638
2012-02-23,837294
2013-06-15,741136
2010-09-18,731545
2009-03-25,403788
2010-04-06,711027
2008-08-06,94391
2009-07-28,133137
2012-12-25,375200
2010-02-10,798178
2011-08-11,6130186
2011-01-20,75947
2009-04-10,144678
2012-04-27,164923
2008-10-08,212751
2011-04-06,879165
2009-07-02,948292
2008-07-20,52891
2013-05-27,1285032
2008-12-06,82042
2008-11-18,132696
2008-11-30,108910
2012-09-30,285003
2013-02-12,10473290
2013-01-31,500645
2012-10-30,168763
2010-04-01,270993
2013-01-10,404090
2013-07-02,622553
2009-01-02,75076
2008-09-10,283654
2009-11-09,1786491
2011-09-25,199219
2011-08-12,1852087
2012-05-08,298686
2012-10-28,465522
2009-12-16,99408
2009-09-14,233616
2009-05-19,418279
2013-04-30,456194
2013-02-26,1233697
2011-10-09,218178
2013-06-04,248066
2008-09-19,267076
2013-04-15,1708438
2013-07-21,1107970
2010-12-04,623295
2010-10-12,954176
2013-07-26,711834
2009-10-06,3555906
2009-07-10,569266
2009-08-08,74839
2012-03-28,278692
2009-07-16,184458
2008-12-06,718808
2008-09-26,322901
2010-03-02,76465
2009-03-18,193109
2008-07-31,150345
2009-08-28,96879
2012-08-21,581392
2009-07-21,340679
2013-02-28,1957205
2009-04-10,337615
2009-12-02,201785
2008-08-28,219900
2013-02-04,377129
2011-05-10,92395
2013-05-09,235174
2008-08-07,192243
2010-03-17,285062
2012-03-09,260612
2010-01-26,1760593
2008-08-29,99461
2013-01-21,199533
2012-05-30,340267
2009-02-12,80232
2012-03-15,113772
2012-07-29,186277
2009-11-15,923426
2013-05-17,278383
2009-12-16,1417358
2010-04-01,691896
2008-09-27,273615
2010-04-14,325536
2009-04-21,125349
2012-06-02,133501
2011-06-14,93431
2011-08-12,514708
2009-01-09,335068
2011-05-13,218894
2012-11-14,123289
2008-11-07,206318
2010-09-08,136732
2013-06-24,1360894
2012-10-29,350915
2009-11-23,111443
2013-06-22,1400496
2010-04-08,816728
2010-04-13,131572
2008-07-25,28599
2009-05-24,156277
2008-11-23,102340
2009-08-13,55279
2011-08-04,514210
2010-02-18,118386
2010-04-13,178837
2012-04-18,180352
2013-07-20,1708811
2009-03-16,231578
2008-10-29,191602
2012-08-29,704411
2008-10-13,199276
2009-02-24,499229
2013-03-05,121273
2012-10-26,897920
2008-11-25,101431
2009-06-16,1372830
2009-07-14,310554
2009-08-05,321969
2013-05-18,128318
2008-12-08,1686736
2008-10-08,79054
2013-07-12,743775
2013-06-28,411835
2012-09-23,410831
2008-10-06,186666
2008-08-07,206135
2009-02-27,178775
2012-08-26,374200
2009-01-06,217796
2009-03-20,154744
2009-07-27,227244
2009-05-22,309134
2011-07-26,135420
2008-11-24,104581
2011-07-28,173810
2012-03-06,1301617
2009-07-10,185923
2009-10-21,252547
2010-10-25,156575
2012-04-18,656202
2008-08-30,157825
2009-01-03,947013
2008-08-25,138232
2009-08-16,115402
2008-09-29,543897
2010-02-05,220009
2011-06-23,272323
2009-07-18,55209
2009-01-12,673522
2009-05-10,168464
2009-03-25,66205
2008-07-18,160881
2013-05-31,1542440
2009-11-17,365401
2010-12-11,1257732
2009-09-09,572779
2013-06-23,257311
2013-07-02,621122
2008-09-13,145798
2013-05-17,1170229
2013-06-28,412916
2011-05-23,117653
2008-10-02,194363
2012-06-19,791197
2009-09-06,166870
2010-06-10,482845
2012-06-13,166083
2011-09-16,213616
2008-07-19,95082
2008-11-12,182713
2012-12-17,529866
2008-08-30,187096
2010-01-20,176103
2012-05-01,98539
2008-10-27,287103
2010-02-15,938723
2010-05-14,217313
2009-04-27,95284
2011-08-16,60587
2012-03-18,46324
2008-09-16,481884
2008-08-12,66369
2013-07-22,1817539
2009-06-02,287395
2009-04-02,293185
2009-09-21,485703
2013-02-27,2594213
2013-03-29,350069
2009-11-05,96958
2013-01-07,1510330
2010-12-21,978953
2009-12-15,137628
2010-07-16,102952
2012-09-16,302460
2009-03-22,49457
2009-04-03,156555
2010-01-03,534792
2009-07-27,1143368
2009-08-16,837028
2009-08-16,335805
2013-07-19,1262625
2013-07-09,1388182
2013-03-12,529268
2009-06-10,224153
2010-05-01,136127
2010-03-19,232268
2013-07-26,723111
2012-12-04,339723
2013-05-20,239469
2013-05-20,1578580
2009-03-03,1241605
2013-07-18,914297
2010-04-09,1254791
2008-07-30,120558
2013-04-01,524297
2011-05-19,321539
2013-01-20,356795
2011-05-16,127001
2008-11-18,161647
2008-11-04,687553
2008-12-23,240026
2013-03-01,802409
2013-05-20,112050
2013-06-28,419226
2010-10-09,125659
2008-09-03,278259
2013-05-19,805271
2010-03-26,33580
2010-09-14,1516587
2012-03-19,339115
2009-01-10,72021
2008-12-15,107074
2013-07-18,811998
2010-09-20,77123
2011-05-23,284366
2012-09-09,202232
2011-08-24,812188
2008-08-21,108738
2010-10-20,1162140
2010-04-22,48740
2009-08-11,340204
2013-04-30,1404510
2009-02-12,118635
2012-03-05,317297
2011-08-16,181502
2012-09-29,134845
2008-08-12,48112
2012-04-29,170205
2012-04-29,157510
2008-08-28,404293
2013-04-30,104114
2011-01-10,108443
2009-10-07,2058048
2010-03-19,1773052
2011-11-24,479297
2011-11-19,92080
2009-12-14,987813
2013-07-09,1995657
2013-05-07,2713190
2008-09-13,136589
2010-09-20,174222
2012-06-03,1839861
2010-03-19,957681
2013-03-27,87185
2012-05-04,172525
2008-09-18,127997
2009-12-23,132966
2012-01-27,2714949
2013-06-26,382332
2008-08-07,155985
2013-04-22,122419
2008-08-07,56937
2009-02-13,894971
2013-05-29,634736
2009-11-03,135156
2010-01-11,365638
2009-09-05,597261
2011-05-20,304331
2009-01-26,118342
2008-11-06,630150
2008-11-01,547054
2008-12-02,191429
2010-05-06,136609
2008-10-07,102904
2009-09-22,315263
2013-06-24,192419
2011-04-21,75296
2009-06-21,157038
2008-12-05,535752
2008-09-24,211929
2013-07-15,4500070
2009-02-04,257064
2013-03-02,1502688
2011-08-28,243273
2013-07-22,3295318
2013-05-06,724145
2012-08-21,455304
2013-05-05,481480
2013-05-04,873427
2012-05-29,338746
2012-12-10,1382334
2013-06-05,149469
2012-04-19,395050
2009-01-27,247076
2008-08-16,152645
