Date,NumFiles
2008-08-15,15
2009-06-16,18
2008-12-02,38
2009-01-18,26
2010-02-19,94
2008-11-08,126
2009-03-03,33
2009-02-01,18
2009-07-17,31
2008-11-09,16
2010-05-12,56
2010-01-04,22
2008-10-08,34
2009-04-15,12
2010-11-12,26
2008-11-02,11
2009-08-17,29
2012-02-02,124
2008-09-07,20
2012-07-06,146
2012-12-11,115
2009-09-19,19
2012-09-06,16
2010-03-17,32
2011-09-14,107
2013-05-10,28
2009-10-06,25
2010-03-28,26
2010-05-25,70
2009-09-09,32
2012-02-23,104
2013-06-15,66
2010-09-18,178
2009-03-25,28
2010-04-06,39
2008-08-06,28
2009-07-28,36
2012-12-25,66
2010-02-10,69
2011-08-11,204
2011-01-20,23
2009-04-10,26
2012-04-27,29
2008-10-08,43
2011-04-06,161
2009-07-02,38
2008-07-20,24
2013-05-27,181
2008-12-06,22
2008-11-18,18
2008-11-30,22
2012-09-30,42
2013-02-12,470
2013-01-31,79
2012-10-30,39
2010-04-01,29
2013-01-10,24
2013-07-02,69
2009-01-02,31
2008-09-10,23
2009-11-09,140
2011-09-25,39
2011-08-12,179
2012-05-08,45
2012-10-28,47
2009-12-16,22
2009-09-14,25
2009-05-19,60
2013-04-30,49
2013-02-26,170
2011-10-09,29
2013-06-04,29
2008-09-19,32
2013-04-15,375
2013-07-21,52
2010-12-04,72
2010-10-12,26
2013-07-26,95
2009-10-06,172
2009-07-10,22
2009-08-08,20
2012-03-28,38
2009-07-16,32
2008-12-06,30
2008-09-26,36
2010-03-02,28
2009-03-18,44
2008-07-31,21
2009-08-28,25
2012-08-21,21
2009-07-21,48
2013-02-28,89
2009-04-10,32
2009-12-02,30
2008-08-28,29
2013-02-04,67
2011-05-10,25
2013-05-09,30
2008-08-07,31
2010-03-17,10
2012-03-09,33
2010-01-26,12
2008-08-29,26
2013-01-21,66
2012-05-30,43
2009-02-12,21
2012-03-15,40
2012-07-29,70
2009-11-15,127
2013-05-17,56
2009-12-16,48
2010-04-01,101
2008-09-27,32
2010-04-14,42
2009-04-21,17
2012-06-02,33
2011-06-14,21
2011-08-12,86
2009-01-09,22
2011-05-13,37
2012-11-14,29
2008-11-07,21
2010-09-08,33
2013-06-24,49
2012-10-29,35
2009-11-23,17
2013-06-22,147
2010-04-08,44
2010-04-13,24
2008-07-25,14
2009-05-24,47
2008-11-23,24
2009-08-13,21
2011-08-04,38
2010-02-18,29
2010-04-13,22
2012-04-18,31
2013-07-20,269
2009-03-16,27
2008-10-29,29
2012-08-29,56
2008-10-13,12
2009-02-24,19
2013-03-05,29
2012-10-26,62
2008-11-25,17
2009-06-16,169
2009-07-14,44
2009-08-05,45
2013-05-18,4
2008-12-08,50
2008-10-08,40
2013-07-12,104
2013-06-28,58
2012-09-23,133
2008-10-06,11
2008-08-07,35
2009-02-27,38
2012-08-26,69
2009-01-06,47
2009-03-20,20
2009-07-27,26
2009-05-22,23
2011-07-26,27
2008-11-24,24
2011-07-28,34
2012-03-06,42
2009-07-10,43
2009-10-21,35
2010-10-25,30
2012-04-18,54
2008-08-30,23
2009-01-03,61
2008-08-25,18
2009-08-16,40
2008-09-29,21
2010-02-05,32
2011-06-23,36
2009-07-18,19
2009-01-12,22
2009-05-10,24
2009-03-25,25
2008-07-18,28
2013-05-31,57
2009-11-17,34
2010-12-11,183
2009-09-09,35
2013-06-23,38
2013-07-02,160
2008-09-13,17
2013-05-17,46
2013-06-28,57
2011-05-23,22
2008-10-02,31
2012-06-19,58
2009-09-06,17
2010-06-10,35
2012-06-13,31
2011-09-16,46
2008-07-19,21
2008-11-12,42
2012-12-17,72
2008-08-30,21
2010-01-20,37
2012-05-01,27
2008-10-27,20
2010-02-15,183
2010-05-14,22
2009-04-27,23
2011-08-16,16
2012-03-18,15
2008-09-16,29
2008-08-12,24
2013-07-22,239
2009-06-02,23
2009-04-02,21
2009-09-21,27
2013-02-27,104
2013-03-29,48
2009-11-05,37
2013-01-07,180
2010-12-21,184
2009-12-15,8
2010-07-16,21
2012-09-16,72
2009-03-22,10
2009-04-03,28
2010-01-03,43
2009-07-27,106
2009-08-16,157
2009-08-16,113
2013-07-19,98
2013-07-09,72
2013-03-12,75
2009-06-10,19
2010-05-01,19
2010-03-19,61
2013-07-26,67
2012-12-04,66
2013-05-20,24
2013-05-20,56
2009-03-03,48
2013-07-18,74
2010-04-09,56
2008-07-30,22
2013-04-01,106
2011-05-19,95
2013-01-20,65
2011-05-16,24
2008-11-18,29
2008-11-04,41
2008-12-23,24
2013-03-01,124
2013-05-20,20
2013-06-28,50
2010-10-09,33
2008-09-03,27
2013-05-19,40
2010-03-26,10
2010-09-14,42
2012-03-19,35
2009-01-10,28
2008-12-15,22
2013-07-18,140
2010-09-20,15
2011-05-23,44
2012-09-09,46
2011-08-24,128
2008-08-21,29
2010-10-20,89
2010-04-22,22
2009-08-11,100
2013-04-30,182
2009-02-12,19
2012-03-05,32
2011-08-16,34
2012-09-29,38
2008-08-12,26
2012-04-29,27
2012-04-29,27
2008-08-28,39
2013-04-30,36
2011-01-10,22
2009-10-07,39
2010-03-19,43
2011-11-24,51
2011-11-19,29
2009-12-14,50
2013-07-09,156
2013-05-07,370
2008-09-13,33
2010-09-20,53
2012-06-03,283
2010-03-19,42
2013-03-27,23
2012-05-04,25
2008-09-18,29
2009-12-23,48
2012-01-27,217
2013-06-26,56
2008-08-07,29
2013-04-22,31
2008-08-07,26
2009-02-13,26
2013-05-29,48
2009-11-03,33
2010-01-11,68
2009-09-05,51
2011-05-20,33
2009-01-26,40
2008-11-06,30
2008-11-01,50
2008-12-02,36
2010-05-06,27
2008-10-07,39
2009-09-22,45
2013-06-24,17
2011-04-21,22
2009-06-21,30
2008-12-05,30
2008-09-24,30
2013-07-15,285
2009-02-04,24
2013-03-02,234
2011-08-28,31
2013-07-22,249
2013-05-06,62
2012-08-21,34
2013-05-05,63
2013-05-04,77
2012-05-29,67
2012-12-10,78
2013-06-05,40
2012-04-19,92
2009-01-27,37
2008-08-16,16
2012-01-28,62
2009-07-07,58
2009-02-25,58
2009-07-10,40
2010-04-06,33
2012-03-31,16
2013-07-02,84
2009-09-30,47
2008-09-11,31
2010-03-01,28
2009-09-30,26
2009-10-22,14
2012-10-27,28
2009-01-08,40
2010-01-23,49
2009-09-28,35
2008-08-25,46
2010-04-26,44
2009-07-27,24
2010-06-14,27
2013-02-24,244
2013-01-31,139
2012-07-24,50
2008-07-30,15
2009-03-31,45
2009-07-24,31
2013-02-21,213
2012-03-22,79
2013-07-20,54
2011-06-13,35
2013-07-22,266
2013-01-21,11
2008-08-26,29
2009-07-03,109
2010-06-03,40
2010-08-31,34
2010-03-31,35
2009-10-10,54
2010-04-19,55
2009-10-19,21
2013-01-18,45
2008-12-05,42
2010-06-10,49
2010-05-20,40
2008-10-28,45
2008-07-18,53
2012-12-29,34
2011-05-10,75
2009-05-11,32
2012-06-19,79
2009-05-10,16
2008-09-12,20
2012-05-25,41
2010-05-25,27
2011-12-02,44
2010-01-22,27
2008-07-18,60
2010-02-28,93
2010-04-25,28
2011-12-13,123
2008-08-11,43
2013-07-07,24
2011-03-25,25
2013-05-30,41
2013-05-30,41
2009-05-18,49
2009-06-18,34
2010-04-03,65
2008-09-19,32
2013-05-01,143
2010-01-04,24
2013-04-03,23
2013-04-22,113
2009-02-14,23
2011-02-11,28
2013-07-22,276
2010-06-07,235
2010-04-08,101
2012-10-17,338
2009-08-17,131
2008-08-16,32
2010-01-13,46
2009-01-16,50
2008-11-04,21
2013-07-09,47
2008-08-04,31
2012-12-15,5
2009-03-22,12
2010-04-28,37
2013-06-19,70
2011-01-06,12
2009-08-20,17
2011-06-28,42
2013-07-23,26
2010-03-08,71
2010-09-10,114
2013-06-28,50
2013-06-13,80
2013-05-22,59
2012-08-05,103
2009-08-04,27
2009-02-03,30
2008-12-05,25
2012-09-09,63
2011-03-31,24
2008-07-26,28
2009-07-05,38
2008-11-12,19
2013-06-11,217
2009-07-23,34
2010-01-10,21
2010-03-28,61
2009-07-13,23
2008-09-27,11
2013-03-08,120
2010-10-11,43
2009-09-09,29
2009-10-07,20
2010-05-21,63
2012-05-04,339
2013-06-12,200
2010-10-16,63
2009-09-05,37
2010-11-02,51
2008-09-10,29
2013-01-05,282
2008-11-19,10
2009-11-17,29
2011-12-09,40
2012-12-30,49
2010-03-22,28
2009-01-27,47
2012-04-05,100
2013-06-24,19
2009-12-16,67
2010-01-29,38
2009-10-01,32
2008-08-06,25
2012-03-05,26
2008-11-12,21
2011-07-28,37
2009-03-06,29
2009-02-27,48
2008-07-23,23
2009-07-08,19
2009-02-20,11
2008-08-12,20
2011-09-02,38
2011-11-14,34
2010-10-15,38
2011-07-05,29
2013-05-03,42
2009-12-10,29
2012-11-10,33
2013-03-05,37
2013-06-28,43
2010-01-12,24
2010-12-05,43
2009-01-21,34
2008-11-29,35
2012-03-29,50
2012-11-16,30
2010-04-30,23
2009-05-06,68
2011-01-16,26
2008-10-28,16
2008-11-12,41
2009-08-13,143
2008-12-05,26
2013-07-16,45
2008-11-26,20
2012-09-29,68
2013-07-08,284
2010-05-09,59
2009-09-03,30
2010-05-24,57
2009-03-27,47
2010-09-29,27
2012-07-20,36
